dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.3.l.txt,1,31008,100,3,53.3,868.0,916.0,5.240174672489083,0,0.39936649999981455,20,16,16,4,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.m.txt,0,32007,100,3,56.7,962.0,962.0,0.0,1,0.37952899999982037,20,11,11,9,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.m.txt,1,32008,100,3,56.7,921.0,962.0,4.261954261954262,0,0.3423945000004096,20,17,17,3,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.n.txt,0,33007,100,3,60.0,1023.0,1056.0,3.125,0,0.35467310000058205,20,18,18,2,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.n.txt,1,33008,100,3,60.0,1056.0,1056.0,0.0,1,0.3495857000007163,20,14,14,6,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.o.txt,0,34007,100,3,63.3,1063.0,1076.0,1.20817843866171,0,0.3640333000003011,20,18,18,2,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.o.txt,1,34008,100,3,63.3,1076.0,1076.0,0.0,1,0.3633953999997175,20,17,17,3,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.p.txt,0,35007,100,3,66.7,1155.0,1155.0,0.0,1,0.38036250000004657,20,20,20,0,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.p.txt,1,35008,100,3,66.7,1124.0,1155.0,2.683982683982684,0,0.36429750000024796,20,20,20,0,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.q.txt,0,36007,100,3,70.0,1159.0,1169.0,0.8554319931565441,0,0.4114779000001363,20,19,19,1,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.q.txt,1,36008,100,3,70.0,1169.0,1169.0,0.0,1,0.4174388999999792,20,18,18,2,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.r.txt,0,37007,100,3,73.3,1155.0,1175.0,1.702127659574468,0,0.39727440000024217,20,14,14,6,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.r.txt,1,37008,100,3,73.3,1175.0,1175.0,0.0,1,0.37602139999944484,20,10,10,10,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.s.txt,0,38007,100,3,76.7,1218.0,1239.0,1.694915254237288,0,0.3701231999993979,20,14,14,6,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.s.txt,1,38008,100,3,76.7,1239.0,1239.0,0.0,1,0.35785540000051697,20,14,14,6,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.t.txt,0,39007,100,3,80.0,1251.0,1271.0,1.5735641227380015,0,0.36143449999963195,20,16,16,4,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.t.txt,1,39008,100,3,80.0,1271.0,1271.0,0.0,1,0.3816246999995201,20,17,17,3,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.a.txt,0,40007,100,4,12.5,0,0.0,0.0,1,0.009409400000549795,20,0,0,20,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.a.txt,1,40008,100,4,12.5,0,0.0,0.0,1,0.009396599999490718,20,0,0,20,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.b.txt,0,41007,100,4,15.0,0,0.0,0.0,1,0.012945000000399887,20,0,0,20,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.b.txt,1,41008,100,4,15.0,0,0.0,0.0,1,0.009217299999363604,20,0,0,20,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.c.txt,0,42007,100,4,17.5,0,0.0,0.0,1,0.009050500000739703,20,0,0,20,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.c.txt,1,42008,100,4,17.5,0,0.0,0.0,1,0.009210700000039651,20,0,0,20,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.d.txt,0,43007,100,4,20.0,38.0,38.0,0.0,1,0.02789160000065749,20,0,0,20,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.d.txt,1,43008,100,4,20.0,38.0,38.0,0.0,1,0.028662200000326266,20,0,0,20,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.e.txt,0,44007,100,4,22.5,182.0,182.0,0.0,1,0.07526320000033593,20,1,1,19,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.e.txt,1,44008,100,4,22.5,182.0,182.0,0.0,1,0.08134640000025684,20,20,20,0,4,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.f.txt,0,45007,100,4,25.0,309.0,315.0,1.9047619047619049,0,0.12440179999975953,20,15,15,5,1,1,N/A (ILS),N/A (ILS),ok
