dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_iterations_to_convergence,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p5.3.g.txt,66,3,2,185.0,185.0,185.0,0.0,0.04139544999998179,0.04139544999998179,3.5,100.0,0.0,0.0
chao,p5.3.h.txt,66,3,2,260.0,260.0,260.0,0.0,0.05132439999988492,0.05132439999988492,3.5,100.0,0.0,0.0
chao,p5.3.i.txt,66,3,2,335.0,335.0,335.0,0.0,0.05328099999951519,0.05328099999951519,4.5,100.0,0.0,0.0
chao,p5.3.j.txt,66,3,2,470.0,470.0,450.0,28.284271247461902,0.06254409999974087,0.06254409999974087,2.5,50.0,4.25531914893617,8.51063829787234
chao,p5.3.k.txt,66,3,2,485.0,485.0,477.5,10.606601717798213,0.07642005000025165,0.07642005000025165,6.5,50.0,1.5463917525773196,3.0927835051546393
chao,p5.3.l.txt,66,3,2,585.0,585.0,580.0,7.0710678118654755,0.07712325000011333,0.07712325000011333,1.0,50.0,0.8547008547008548,1.7094017094017095
chao,p5.3.m.txt,66,3,2,650.0,650.0,647.5,3.5355339059327378,0.09338109999953303,0.09338109999953303,7.0,50.0,0.38461538461538464,0.7692307692307693
chao,p5.3.n.txt,66,3,2,735.0,735.0,722.5,17.67766952966369,0.09553160000041316,0.09553160000041316,16.0,50.0,1.7006802721088436,3.4013605442176873
chao,p5.3.o.txt,66,3,2,820.0,820.0,820.0,0.0,0.11412239999981466,0.11412239999981466,8.0,100.0,0.0,0.0
chao,p5.3.p.txt,66,3,2,990.0,990.0,965.0,35.35533905932738,0.11013860000002751,0.11013860000002751,11.5,50.0,2.525252525252525,5.05050505050505
chao,p5.3.q.txt,66,3,2,1055.0,1055.0,1045.0,14.142135623730951,0.1255049000001236,0.1255049000001236,16.0,50.0,0.9478672985781991,1.8957345971563981
chao,p5.3.r.txt,66,3,2,1110.0,1110.0,1105.0,7.0710678118654755,0.13338844999952926,0.13338844999952926,4.5,50.0,0.45045045045045046,0.9009009009009009
