dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p6.2.c.txt,0,140007,64,2,12.5,0,0.0,0.0,1,0.023777699996571755,1,1,1,0,0,0,1,992,ok
chao,p6.2.d.txt,0,141007,64,2,15.0,192.0,192.0,0.0,1,0.17008160000114003,2,2,2,0,0,0,2,66048,ok
chao,p6.2.e.txt,0,142007,64,2,17.5,324.0,324.0,0.0,1,0.3843833999999333,2,2,2,0,0,0,2,116864,ok
chao,p6.2.f.txt,0,143007,64,2,20.0,384.0,384.0,0.0,1,0.6045182000016212,2,2,2,0,0,0,2,98560,ok
chao,p6.2.g.txt,0,144007,64,2,22.5,504.0,504.0,0.0,1,0.7454247000023315,2,2,2,0,0,0,2,157248,ok
chao,p6.2.h.txt,0,145007,64,2,25.0,612.0,612.0,0.0,1,0.8467736999991757,2,2,2,0,0,0,2,179200,ok
chao,p6.2.i.txt,0,146007,64,2,27.5,696.0,696.0,0.0,1,0.9762868999969214,2,2,2,0,0,0,2,179200,ok
chao,p6.2.j.txt,0,147007,64,2,30.0,696.0,696.0,0.0,1,1.0143377000022156,2,2,2,0,0,0,2,179200,ok
chao,p6.2.k.txt,0,148007,64,2,32.5,696.0,696.0,0.0,1,1.0451938000005612,2,2,2,0,0,0,2,179200,ok
chao,p6.2.l.txt,0,149007,64,2,35.0,696.0,696.0,0.0,1,1.0092193000018597,2,2,2,0,0,0,2,179200,ok
chao,p6.2.m.txt,0,150007,64,2,37.5,696.0,696.0,0.0,1,1.0065408999980718,2,2,2,0,0,0,2,179200,ok
chao,p6.2.n.txt,0,151007,64,2,40.0,696.0,696.0,0.0,1,1.0409868999995524,2,2,2,0,0,0,2,179200,ok
chao,p6.3.a.txt,0,152007,64,3,5.0,0,0.0,0.0,1,0.03175090000149794,1,1,1,0,0,0,1,992,ok
chao,p6.3.b.txt,0,153007,64,3,6.7,0,0.0,0.0,1,0.024304499998834217,1,1,1,0,0,0,1,992,ok
chao,p6.3.c.txt,0,154007,64,3,8.3,0,0.0,0.0,1,0.02536340000006021,1,1,1,0,0,0,1,992,ok
chao,p6.3.d.txt,0,155007,64,3,10.0,0,0.0,0.0,1,0.03327490000083344,1,1,1,0,0,0,1,992,ok
chao,p6.3.e.txt,0,156007,64,3,11.7,0,0.0,0.0,1,0.030640600001788698,1,1,1,0,0,0,1,992,ok
chao,p6.3.f.txt,0,157007,64,3,13.3,0,0.0,0.0,1,0.026988199999323115,1,1,1,0,0,0,1,992,ok
chao,p6.3.g.txt,0,158007,64,3,15.0,270.0,270.0,0.0,1,0.289992699999857,4,4,4,0,0,0,4,91744,ok
chao,p6.3.h.txt,0,159007,64,3,16.7,348.0,348.0,0.0,1,0.9842265999977826,8,8,8,0,0,0,8,327626,ok
chao,p6.3.i.txt,0,160007,64,3,18.3,438.0,438.0,0.0,1,1.3027468000000226,8,8,8,0,0,0,8,416602,ok
