dataset,instance,score,gap_to_reference_best_percent
dang,kroB200_gen3_m2.txt,447.0,0.0
dang,kroB200_gen3_m3.txt,508.0,0.0
dang,lin318_gen1_m2.txt,16.0,0.0
dang,lin318_gen1_m3.txt,18.0,0.0
dang,lin318_gen2_m2.txt,1139.0,0.0
dang,lin318_gen2_m3.txt,1193.0,0.0
dang,lin318_gen3_m2.txt,247.0,0.0
dang,lin318_gen3_m4.txt,329.0,0.0
dang,pr136_gen1_m2.txt,16.0,0.0
dang,pr136_gen2_m2.txt,959.0,0.0
dang,pr264_gen1_m4.txt,20.0,0.0
dang,pr264_gen2_m2.txt,960.0,0.0
dang,pr264_gen2_m3.txt,1143.0,0.0
dang,pr264_gen2_m4.txt,1297.0,0.0
dang,pr264_gen3_m3.txt,396.0,0.0
dang,pr299_gen1_m2.txt,16.0,0.0
dang,pr299_gen1_m3.txt,18.0,0.0
dang,pr299_gen1_m4.txt,20.0,0.0
dang,pr299_gen2_m3.txt,1133.0,0.0
dang,pr299_gen2_m4.txt,1280.0,0.0
dang,pr299_gen3_m2.txt,306.0,0.0
dang,pr299_gen3_m3.txt,334.0,0.0
dang,pr299_gen3_m4.txt,380.0,0.0
dang,rat195_gen2_m2.txt,1008.0,0.0
dang,rat195_gen3_m3.txt,442.0,0.0
dang,rd400_gen1_m2.txt,16.0,0.0
dang,rd400_gen1_m3.txt,18.0,0.0
dang,rd400_gen1_m4.txt,20.0,0.0
dang,rd400_gen2_m2.txt,1076.0,0.0
dang,rd400_gen2_m3.txt,1261.0,0.0
dang,rd400_gen2_m4.txt,1436.0,0.0
dang,rd400_gen3_m2.txt,395.0,0.0
dang,rd400_gen3_m3.txt,554.0,0.0
dang,rd400_gen3_m4.txt,695.0,0.0
dang,ts225_gen2_m2.txt,944.0,0.0
vansteenwegen,bier127_gen1_m2.txt,12.0,0.0
vansteenwegen,bier127_gen1_m3.txt,22.0,0.0
vansteenwegen,bier127_gen2_m2.txt,955.0,0.0
vansteenwegen,bier127_gen2_m3.txt,1173.0,0.0
vansteenwegen,bier127_gen2_m4.txt,1338.0,0.0
vansteenwegen,bier127_gen3_m2.txt,303.0,0.0
vansteenwegen,bier127_gen3_m3.txt,402.0,0.0
vansteenwegen,bier127_gen3_m4.txt,433.0,0.0
vansteenwegen,cmt101c_m3.txt,630.0,0.0
