dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.4.k.txt,100,4,1,386.0,386.0,386.0,0.0,1.8528538999999,1.8528538999999,8.0,1055040.0,100.0,0.0,0.0
chao,p4.4.l.txt,100,4,1,394.0,394.0,394.0,0.0,0.7388014000025578,0.7388014000025578,2.0,262080.0,100.0,0.0,0.0
chao,p4.4.m.txt,100,4,1,420.0,420.0,420.0,0.0,0.8452762000015355,0.8452762000015355,2.0,300160.0,100.0,0.0,0.0
chao,p4.4.n.txt,100,4,1,432.0,432.0,432.0,0.0,0.9524376999979722,0.9524376999979722,2.0,300160.0,100.0,0.0,0.0
chao,p4.4.o.txt,100,4,1,433.0,433.0,433.0,0.0,1.0154235000009066,1.0154235000009066,2.0,300160.0,100.0,0.0,0.0
chao,p4.4.p.txt,100,4,1,446.0,446.0,446.0,0.0,1.0798905000010564,1.0798905000010564,2.0,300160.0,100.0,0.0,0.0
chao,p4.4.q.txt,100,4,1,446.0,446.0,446.0,0.0,1.1422358999989228,1.1422358999989228,2.0,300160.0,100.0,0.0,0.0
chao,p4.4.r.txt,100,4,1,446.0,446.0,446.0,0.0,1.2404366000009759,1.2404366000009759,2.0,300160.0,100.0,0.0,0.0
chao,p4.4.s.txt,100,4,1,446.0,446.0,446.0,0.0,1.2834748000022955,1.2834748000022955,2.0,300160.0,100.0,0.0,0.0
chao,p4.4.t.txt,100,4,1,446.0,446.0,446.0,0.0,1.3144590999982029,1.3144590999982029,2.0,300160.0,100.0,0.0,0.0
chao,p5.2.a.txt,66,2,1,0.0,0.0,0.0,0.0,0.031803199999558274,0.031803199999558274,1.0,1024.0,100.0,0.0,0.0
chao,p5.2.b.txt,66,2,1,20.0,20.0,20.0,0.0,0.05773670000053244,0.05773670000053244,1.0,6016.0,100.0,0.0,0.0
chao,p5.2.c.txt,66,2,1,40.0,40.0,40.0,0.0,0.07219389999954728,0.07219389999954728,1.0,6016.0,100.0,0.0,0.0
chao,p5.2.d.txt,66,2,1,80.0,80.0,80.0,0.0,0.15775289999874076,0.15775289999874076,2.0,29440.0,100.0,0.0,0.0
chao,p5.2.e.txt,66,2,1,170.0,170.0,170.0,0.0,0.2304057000001194,0.2304057000001194,2.0,40768.0,100.0,0.0,0.0
chao,p5.2.f.txt,66,2,1,190.0,190.0,190.0,0.0,0.36596279999866965,0.36596279999866965,2.0,40768.0,100.0,0.0,0.0
chao,p5.2.g.txt,66,2,1,320.0,320.0,320.0,0.0,0.6183946000019205,0.6183946000019205,2.0,84480.0,100.0,0.0,0.0
chao,p5.2.h.txt,66,2,1,390.0,390.0,390.0,0.0,0.7239822000010463,0.7239822000010463,2.0,102080.0,100.0,0.0,0.0
chao,p5.2.i.txt,66,2,1,435.0,435.0,435.0,0.0,1.1579013999980816,1.1579013999980816,3.0,149440.0,100.0,0.0,0.0
chao,p5.2.j.txt,66,2,1,560.0,560.0,560.0,0.0,0.9129702999998699,0.9129702999998699,2.0,163072.0,100.0,0.0,0.0
